0,0.4999999999999999,0.4999999999999999
"1/60",0.5002832215047385,0.4997167145718648
"1/30",0.5011311739522711,0.4988687455802886
"1/20",0.5025384392463491,0.49746148476584245
"1/15",0.504496026386098,0.495503882915903
"1/12",0.5069914521879559,0.4930084101146488
"1/10",0.5100087958622085,0.48999096095100686
"7/60",0.5135289614471781,0.4864708771038258
"2/15",0.51752939582692,0.4824704950521299
"3/20",0.5219845143347939,0.47801524075877616
"1/6",0.5268661078930716,0.47313366002376495
"11/60",0.5321430424399926,0.4678568459814543
"1/5",0.5377815020003043,0.4622182859082631
"13/60",0.5437454890845346,0.4562538744907334
"7/30",0.5499975333538085,0.4500020377313871
"1/4",0.5564971994163305,0.44350217611260984
"4/15",0.563203505552686,0.43679604497694985
"17/60",0.5700733253731544,0.42992610425361333
"3/10",0.5770631715535065,0.4229363521416422
"19/60",0.5841282836307903,0.4158711902154222
"1/3",0.5912237574177942,0.4087757320587926
"7/20",0.5983043328853334,0.40169517832388124
"11/30",0.6053248335790952,0.3946746188977876
"23/60",0.612240651539534,0.38775889559167853
"2/5",0.6190074845558939,0.3809919321459276
"5/12",0.6255825177499563,0.37441706611083897
"13/30",0.6319234432209825,0.3680759391738079
"9/20",0.6379902694673707,0.3620092389804187
"7/15",0.6437435512033204,0.3562551437600716
"29/60",0.6491484328578032,0.35085144291476145
"1/2",0.6541677429804613,0.3458309161341238
"31/60",0.6587723171036458,0.34122726537331605
"8/15",0.6629305543115878,0.33706848726403343
"11/20",0.6666171919849468,0.3333818198692268
"17/30",0.6698088045763488,0.3301908007106368
"7/12",0.6724836733403453,0.32751496887669423
"3/5",0.6746271181605833,0.32537274316489223
"37/60",0.6762225800022307,0.3237761160719423
"19/30",0.6772626330376422,0.32273682924727304
"13/20",0.6777387278359166,0.32226041343646855
"2/3",0.6776485741863587,0.3223503277730439
"41/60",0.6769933495552346,0.3230063415147244
"7/10",0.6757753829034365,0.3242232238960593
"43/60",0.6740050860469975,0.3259947278632087
"11/15",0.6716905615037126,0.3283077440272097
"3/4",0.6688494095792002,0.3311491658434033
"23/30",0.6654990965031747,0.33450051686327836
"47/60",0.6616587697034376,0.33833915125823233
"4/5",0.6573566224535164,0.3426427847835583
"49/60",0.6526167882329663,0.3473820450453216
"5/6",0.6474706932266078,0.35252745025725196
"17/20",0.6419527099739178,0.3580471643874023
"13/15",0.6360943683731434,0.3639037763506134
"53/60",0.6299366438314401,0.37006221302644976
"9/10",0.6235171890569471,0.376482228906928
"11/12",0.616875775749166,0.38312217101960316
"14/15",0.6100578853137518,0.3899417644691212
"19/20",0.6031033989986505,0.39689519913991833
"29/30",0.5960587712033727,0.40393957224156063
"59/60",0.5889694573741818,0.4110303737420159
1,0.5818776705039304,0.41812035913910683
"61/60",0.5748322499208622,0.42516688594991325
"31/30",0.5678757745073781,0.4321233982586036
"21/20",0.5610525160142904,0.4389455046251112
"16/15",0.5544083454963706,0.4455914766409971
"13/12",0.5479815201003957,0.45201590399200564
"11/10",0.5418161419558211,0.4581802030087938
"67/60",0.5359531789177778,0.4640463903080785
"17/15",0.5304248071278914,0.46957305726034004
"23/20",0.525269041284619,0.4747271372012655
"7/6",0.5205213679356429,0.47947788342016157
"71/60",0.5162071917179356,0.4837911287743724
"6/5",0.5123555134082981,0.48764058209574335
"73/60",0.5089943306001973,0.49100453905315905
"37/30",0.5061407552554036,0.4938580163611738
"5/4",0.5038131439496133,0.4961829546057387
"19/15",0.502030464135453,0.49796798660295316
"77/60",0.5008004715954107,0.49919872041982455
"13/10",0.5001298513191181,0.49986633652618967
"79/60",0.5000275258628232,0.499970494466085
"4/3",0.5004913668150082,0.49950818757785065
"27/20",0.501516017950963,0.498480342987941
"41/30",0.503099914147748,0.49689768697730313
"83/60",0.5052310939630842,0.49476873461896415
"7/5",0.5078924734441875,0.4921041388405182
"17/12",0.5110721357064067,0.4889250764402565
"43/30",0.5147489226080082,0.48525105794225426
"29/20",0.5188950161830761,0.48110191706256333
"22/15",0.5234888314361961,0.4765080391994172
"89/60",0.5285012033189795,0.47149877450166633
"3/2",0.533895215264454,0.4661020975213698
"91/60",0.5396407852715182,0.46035580455718794
"23/15",0.5457024389168356,0.45429738615003634
"31/20",0.5520363032746209,0.44796143289026924
"47/30",0.558605434452297,0.44139094640713855
"19/12",0.5653701475514054,0.43462941028175944
"8/5",0.5722821125244756,0.4277160740566793
"97/60",0.5792995635868698,0.420696687805608
"49/30",0.5863809632940471,0.4136182449670087
"33/20",0.5934762563424536,0.406522387143755
"5/3",0.600541175622853,0.39945503081775835
"101/60",0.6075348027261851,0.3924640039213943
"17/10",0.6144081788296659,0.38559090531334933
"103/60",0.6211170040965198,0.3788792438810261
"26/15",0.62762341116027,0.3723749685354784
"7/4",0.6338822972197079,0.366117185133596
"53/30",0.6398518114879046,0.3601445635434738
"107/60",0.6454993767248206,0.3544985749280466
"9/5",0.6507862904665006,0.34921351895851155
"109/60",0.6556755153815412,0.34432106836523607
"11/6",0.6601416678622155,0.339855875759825
"37/20",0.6641546314738694,0.3358454020703663
"28/15",0.6676843083362284,0.33231255893521855
"113/60",0.6707139525356174,0.3292832213616062
"19/10",0.6732237355747572,0.3267763845774908
"23/12",0.675192280760279,0.32480493510028463
"29/15",0.6766123673904931,0.32338449043833084
"39/20",0.6774755838595564,0.3225244627052803
"59/30",0.6777705980470987,0.32222701877891663
"119/60",0.6775000088369708,0.3224965989883582
2,0.6766673343373004,0.3233325043795978
"121/60",0.6752719944013332,0.32472606013828853
"61/30",0.6733261760764357,0.32667025731644006
